kabupaten_kota,jumlah_rs
Kabupaten Bandung,17
Kabupaten Bandung Barat,11
Kabupaten Bekasi,54
Kabupaten Bogor,31
Kabupaten Ciamis,6
Kabupaten Cianjur,7
Kabupaten Cirebon,13
Kabupaten Garut,9
Kabupaten Indramayu,12
Kabupaten Karawang,26
Kabupaten Kuningan,11
Kabupaten Majalengka,6
Kabupaten Pangandaran,1
Kabupaten Purwakarta,10
Kabupaten Subang,9
Kabupaten Sukabumi,9
Kabupaten Sumedang,5
Kabupaten Tasikmalaya,2
Kota Bandung,42
Kota Banjar,4
Kota Bekasi,48
Kota Bogor,22
Kota Cimahi,8
Kota Cirebon,10
Kota Depok,27
Kota Sukabumi,6
Kota Tasikmalaya,15
