kabupaten_kota,jumlah_penduduk,jumlah_faskes,jumlah_rs,jumlah_rs_dibutuhkan,jumlah_faskes_dibutuhkan,kekurangan_rs,kekurangan_faskes
Kabupaten Bandung,3753120,4436,17,37.5312,125.104,20.5312,-4310.896
Kabupaten Bandung Barat,1884190,2387,11,18.8419,62.806333333333335,7.841899999999999,-2324.1936666666666
Kabupaten Bekasi,3273870,3058,54,32.7387,109.129,-21.2613,-2948.871
Kabupaten Bogor,5682300,5284,31,56.823,189.41,25.823,-5094.59
Kabupaten Ciamis,1259230,1660,6,12.5923,41.974333333333334,6.5923,-1618.0256666666667
Kabupaten Cianjur,2584990,3004,7,25.8499,86.16633333333333,18.8499,-2917.833666666667
Kabupaten Cirebon,2387960,2785,13,23.8796,79.59866666666667,10.8796,-2705.4013333333332
Kabupaten Garut,2716950,4455,9,27.1695,90.565,18.1695,-4364.435
Kabupaten Indramayu,1914040,2427,12,19.1404,63.80133333333333,7.1404,-2363.1986666666667
Kabupaten Karawang,2554380,2464,26,25.5438,85.146,-0.45619999999999905,-2378.854
Kabupaten Kuningan,1213930,1488,11,12.1393,40.464333333333336,1.1393000000000004,-1447.5356666666667
Kabupaten Majalengka,1352540,1544,6,13.5254,45.084666666666664,7.525399999999999,-1498.9153333333334
Kabupaten Pangandaran,434100,547,1,4.341,14.47,3.341,-532.53
Kabupaten Purwakarta,1050340,1093,10,10.5034,35.01133333333333,0.5033999999999992,-1057.9886666666666
Kabupaten Subang,1663160,1979,9,16.6316,55.43866666666667,7.631599999999999,-1923.5613333333333
Kabupaten Sukabumi,2828020,3635,9,28.2802,94.26733333333334,19.2802,-3540.732666666667
Kabupaten Sumedang,1187130,1758,5,11.8713,39.571,6.8713,-1718.429
Kabupaten Tasikmalaya,1920920,2472,2,19.2092,64.03066666666666,17.2092,-2407.9693333333335
Kota Bandung,2528160,2122,42,25.2816,84.272,-16.7184,-2037.728
Kota Banjar,209790,220,4,2.0979,6.993,-1.9021,-213.007
Kota Bekasi,2644060,1713,48,26.4406,88.13533333333334,-21.5594,-1624.8646666666666
Kota Bogor,1078350,1030,22,10.7835,35.945,-11.2165,-994.055
Kota Cimahi,598700,433,8,5.987,19.956666666666667,-2.013,-413.04333333333335
Kota Cirebon,344850,377,10,3.4485,11.495,-6.5515,-365.505
Kota Depok,2163640,1136,27,21.6364,72.12133333333334,-5.363600000000002,-1063.8786666666667
Kota Sukabumi,365740,482,6,3.6574,12.191333333333333,-2.3426,-469.8086666666667
Kota Tasikmalaya,750730,951,15,7.5073,25.024333333333335,-7.4927,-925.9756666666667
