kabupaten_kota,jumlah_faskes
Kabupaten Bandung,4436
Kabupaten Bandung Barat,2387
Kabupaten Bekasi,3058
Kabupaten Bogor,5284
Kabupaten Ciamis,1660
Kabupaten Cianjur,3004
Kabupaten Cirebon,2785
Kabupaten Garut,4455
Kabupaten Indramayu,2427
Kabupaten Karawang,2464
Kabupaten Kuningan,1488
Kabupaten Majalengka,1544
Kabupaten Pangandaran,547
Kabupaten Purwakarta,1093
Kabupaten Subang,1979
Kabupaten Sukabumi,3635
Kabupaten Sumedang,1758
Kabupaten Tasikmalaya,2472
Kota Bandung,2122
Kota Banjar,220
Kota Bekasi,1713
Kota Bogor,1030
Kota Cimahi,433
Kota Cirebon,377
Kota Depok,1136
Kota Sukabumi,482
Kota Tasikmalaya,951
