kabupaten_kota,jumlah_penduduk
Kabupaten Bandung,3753120
Kabupaten Bandung Barat,1884190
Kabupaten Bekasi,3273870
Kabupaten Bogor,5682300
Kabupaten Ciamis,1259230
Kabupaten Cianjur,2584990
Kabupaten Cirebon,2387960
Kabupaten Garut,2716950
Kabupaten Indramayu,1914040
Kabupaten Karawang,2554380
Kabupaten Kuningan,1213930
Kabupaten Majalengka,1352540
Kabupaten Pangandaran,434100
Kabupaten Purwakarta,1050340
Kabupaten Subang,1663160
Kabupaten Sukabumi,2828020
Kabupaten Sumedang,1187130
Kabupaten Tasikmalaya,1920920
Kota Bandung,2528160
Kota Banjar,209790
Kota Bekasi,2644060
Kota Bogor,1078350
Kota Cimahi,598700
Kota Cirebon,344850
Kota Depok,2163640
Kota Sukabumi,365740
Kota Tasikmalaya,750730
